id,country_id,season,stage,date,hometeam_id,awayteam_id,home_goal,away_goal
11397,10257,2011/2012,1,2011-12-21T00:00:00.000Z,8524,9880,4,1
11398,10257,2011/2012,1,2011-12-21T00:00:00.000Z,9857,8686,0,2
11399,10257,2011/2012,1,2011-12-20T00:00:00.000Z,8529,8564,0,2
11400,10257,2011/2012,1,2011-12-21T00:00:00.000Z,8636,9888,4,1
11401,10257,2011/2012,1,2011-12-21T00:00:00.000Z,8543,8533,0,0
11402,10257,2011/2012,1,2011-12-21T00:00:00.000Z,9875,10233,6,1
11403,10257,2011/2012,1,2011-12-21T00:00:00.000Z,6269,8540,2,2
11404,10257,2011/2012,1,2011-12-21T00:00:00.000Z,10167,8530,3,3
11405,10257,2011/2012,1,2011-12-20T00:00:00.000Z,8551,8535,0,0
11406,10257,2011/2012,1,2011-12-21T00:00:00.000Z,8600,9885,0,0
11407,10257,2011/2012,10,2011-10-30T00:00:00.000Z,9857,8524,3,1
11408,10257,2011/2012,10,2011-10-30T00:00:00.000Z,8529,8543,0,3
11409,10257,2011/2012,10,2011-10-29T00:00:00.000Z,8530,9875,2,1
11410,10257,2011/2012,10,2011-10-30T00:00:00.000Z,8535,10233,1,0
11411,10257,2011/2012,10,2011-10-29T00:00:00.000Z,8636,9885,1,2
11412,10257,2011/2012,10,2011-10-30T00:00:00.000Z,9888,6269,1,1
11413,10257,2011/2012,10,2011-10-30T00:00:00.000Z,10167,9880,2,0
11414,10257,2011/2012,10,2011-10-29T00:00:00.000Z,8686,8564,2,3
11415,10257,2011/2012,10,2011-10-30T00:00:00.000Z,8551,8533,4,1
11416,10257,2011/2012,10,2011-10-30T00:00:00.000Z,8600,8540,1,0
11417,10257,2011/2012,11,2011-11-06T00:00:00.000Z,8524,8529,1,0
11418,10257,2011/2012,11,2011-11-06T00:00:00.000Z,9880,9888,0,1
11419,10257,2011/2012,11,2011-11-06T00:00:00.000Z,8533,8535,1,0
11420,10257,2011/2012,11,2011-12-13T00:00:00.000Z,10233,8636,0,1
11421,10257,2011/2012,11,2011-11-06T00:00:00.000Z,8543,10167,1,0
11422,10257,2011/2012,11,2011-11-06T00:00:00.000Z,8564,8530,4,0
11423,10257,2011/2012,11,2011-11-29T00:00:00.000Z,9875,9885,3,3
11424,10257,2011/2012,11,2011-11-05T00:00:00.000Z,6269,8686,0,2
11425,10257,2011/2012,11,2011-11-05T00:00:00.000Z,8540,9857,3,1
11426,10257,2011/2012,11,2011-11-06T00:00:00.000Z,8600,8551,2,1
11427,10257,2011/2012,12,2011-11-20T00:00:00.000Z,9857,9880,0,1
11428,10257,2011/2012,12,2011-11-19T00:00:00.000Z,8535,8564,0,0
11429,10257,2011/2012,12,2011-11-20T00:00:00.000Z,8530,8533,1,2
11430,10257,2011/2012,12,2011-11-20T00:00:00.000Z,10233,6269,1,0
11431,10257,2011/2012,12,2011-11-19T00:00:00.000Z,8636,8529,2,1
11432,10257,2011/2012,12,2011-11-20T00:00:00.000Z,9885,8540,3,0
11433,10257,2011/2012,12,2011-11-19T00:00:00.000Z,9875,8543,0,0
11434,10257,2011/2012,12,2011-11-20T00:00:00.000Z,10167,8600,2,0
11435,10257,2011/2012,12,2011-11-20T00:00:00.000Z,8686,9888,2,1
11436,10257,2011/2012,12,2011-11-20T00:00:00.000Z,8551,8524,2,2
11437,10257,2011/2012,13,2011-11-26T00:00:00.000Z,8524,9875,1,1
11438,10257,2011/2012,13,2011-11-27T00:00:00.000Z,8529,9857,1,1
11439,10257,2011/2012,13,2011-11-27T00:00:00.000Z,9880,10233,2,0
11440,10257,2011/2012,13,2011-11-26T00:00:00.000Z,8543,9885,0,1
11441,10257,2011/2012,13,2011-11-26T00:00:00.000Z,9888,8530,0,1
11442,10257,2011/2012,13,2011-11-27T00:00:00.000Z,8564,8533,4,0
11443,10257,2011/2012,13,2011-11-26T00:00:00.000Z,6269,10167,2,1
11444,10257,2011/2012,13,2011-11-27T00:00:00.000Z,8540,8535,2,0
11445,10257,2011/2012,13,2011-11-27T00:00:00.000Z,8551,8636,0,1
11446,10257,2011/2012,13,2011-11-25T00:00:00.000Z,8600,8686,2,0
11447,10257,2011/2012,14,2011-12-04T00:00:00.000Z,9857,8551,1,0
11448,10257,2011/2012,14,2011-12-04T00:00:00.000Z,8530,8529,0,1
11449,10257,2011/2012,14,2011-12-04T00:00:00.000Z,8533,8524,0,0
11450,10257,2011/2012,14,2011-12-04T00:00:00.000Z,8535,8686,3,0
11451,10257,2011/2012,14,2011-12-02T00:00:00.000Z,10233,8564,0,2
11452,10257,2011/2012,14,2011-12-04T00:00:00.000Z,9885,9880,2,0
11453,10257,2011/2012,14,2011-12-05T00:00:00.000Z,8543,6269,3,0
11454,10257,2011/2012,14,2011-12-03T00:00:00.000Z,9875,9888,4,2
11455,10257,2011/2012,14,2011-12-04T00:00:00.000Z,10167,8540,0,0
11456,10257,2011/2012,14,2011-12-03T00:00:00.000Z,8636,8600,0,1
11457,10257,2011/2012,15,2011-12-11T00:00:00.000Z,8524,8530,1,1
11458,10257,2011/2012,15,2011-12-11T00:00:00.000Z,9857,8564,2,2
11459,10257,2011/2012,15,2011-12-11T00:00:00.000Z,8529,10167,0,0
11460,10257,2011/2012,15,2011-12-10T00:00:00.000Z,8636,8535,2,0
11461,10257,2011/2012,15,2011-12-10T00:00:00.000Z,9888,8543,2,3
11462,10257,2011/2012,15,2011-12-11T00:00:00.000Z,6269,9875,1,1
11463,10257,2011/2012,15,2011-12-10T00:00:00.000Z,8540,9880,0,1
11464,10257,2011/2012,15,2011-12-12T00:00:00.000Z,8686,9885,1,1
11465,10257,2011/2012,15,2011-12-10T00:00:00.000Z,8551,10233,0,2
11466,10257,2011/2012,15,2011-12-11T00:00:00.000Z,8600,8533,2,1
11467,10257,2011/2012,16,2011-12-18T00:00:00.000Z,8530,8540,2,0
11468,10257,2011/2012,16,2011-12-18T00:00:00.000Z,9880,8636,0,1
11469,10257,2011/2012,16,2011-12-17T00:00:00.000Z,8533,8529,2,0
11470,10257,2011/2012,16,2011-12-17T00:00:00.000Z,8535,8524,2,2
11471,10257,2011/2012,16,2011-12-18T00:00:00.000Z,10233,9857,2,1
11472,10257,2011/2012,16,2011-12-18T00:00:00.000Z,9885,6269,2,0
11473,10257,2011/2012,16,2011-12-18T00:00:00.000Z,8543,8600,2,2
11474,10257,2011/2012,16,2011-12-17T00:00:00.000Z,8564,8551,2,0
11475,10257,2011/2012,16,2011-12-18T00:00:00.000Z,9875,8686,1,3
11476,10257,2011/2012,16,2011-12-18T00:00:00.000Z,10167,9888,3,3
11477,10257,2011/2012,17,2012-01-08T00:00:00.000Z,8524,8564,0,2
11478,10257,2011/2012,17,2012-01-08T00:00:00.000Z,9857,8530,2,0
11479,10257,2011/2012,17,2012-01-08T00:00:00.000Z,8529,10233,3,0
11480,10257,2011/2012,17,2012-01-07T00:00:00.000Z,8636,10167,5,0
11481,10257,2011/2012,17,2012-01-08T00:00:00.000Z,9888,9885,0,1
11482,10257,2011/2012,17,2012-01-08T00:00:00.000Z,6269,8535,0,3
11483,10257,2011/2012,17,2012-01-08T00:00:00.000Z,8540,9875,1,3
11484,10257,2011/2012,17,2012-01-08T00:00:00.000Z,8686,8533,2,0
